assay_description,canonical_smiles,document_journal,document_year,molecule_chembl_id,record_id,target_organism,units,value
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,NCCCCCCNS(=O)(=O)c1ccc(N=c2c3ccccc3[nH]c3ccccc23)cc1,J Med Chem,1997.0,CHEMBL421351,161702,Leishmania major,uM,3.0
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,J Med Chem,1997.0,CHEMBL43,161713,Leishmania major,uM,1.5
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1OC(C)C,J Med Chem,1997.0,CHEMBL439951,161690,Leishmania major,uM,1.3
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccc(N)cc2nc2cc(N)ccc12,J Med Chem,1997.0,CHEMBL290443,161677,Leishmania major,uM,3.0
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCN(CC)CCCNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL89458,161719,Leishmania major,uM,0.2
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,Nc1ccc2c(=Nc3ccc(S(N)(=O)=O)cc3)c3ccc(N)cc3[nH]c2c1,J Med Chem,1997.0,CHEMBL37940,161703,Leishmania major,uM,3.0
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1ccc(OC)c(C(=O)/C=C/c2ccc(Cl)cc2Cl)c1,J Med Chem,1998.0,CHEMBL144173,280748,Leishmania donovani,uM,7.8
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1ccc(C(=O)/C=C/c2cccc(F)c2)c(OC)c1OC,J Med Chem,1998.0,CHEMBL264038,280770,Leishmania donovani,uM,9.7
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,NCCNCCc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL89150,161706,Leishmania major,uM,0.7
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCN(C)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1OC,J Med Chem,1997.0,CHEMBL88682,161717,Leishmania major,uM,0.6
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCNc1ccc(Nc2c3ccc(Cl)cc3nc3ccc(OC)cc23)cc1,J Med Chem,1997.0,CHEMBL420434,161685,Leishmania major,uM,0.2
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CN(C)Cc1ccc(Nc2c3ccc(N)cc3nc3cc(N)ccc23)cc1,J Med Chem,1997.0,CHEMBL34804,161694,Leishmania major,uM,5.0
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1cc(/C=C/C(=O)c2cccc(N(C)C)c2)cc(OC)c1,J Med Chem,1998.0,CHEMBL439624,280761,Leishmania donovani,uM,5.8
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCN(CC)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL315530,161683,Leishmania major,uM,0.4
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2Cl)c(OC)c1OC,J Med Chem,1998.0,CHEMBL136132,280798,Leishmania donovani,uM,6.3
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1OC,J Med Chem,1997.0,CHEMBL88507,161686,Leishmania major,uM,0.4
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCN(CCCCCC)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL88123,161696,Leishmania major,uM,0.24
Tested in vitro for anti-leishmanial activity against Leishmania donovani,CCCCOc1ccccc1C(=O)/C=C/c1cc(OC)cc(OC)c1,J Med Chem,1998.0,CHEMBL141932,280766,Leishmania donovani,uM,7.2
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CN(C)c1ccc2c(Nc3ccccc3)c3ccc(N(C)C)cc3nc2c1,J Med Chem,1997.0,CHEMBL37644,161714,Leishmania major,uM,0.03
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CN(C)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL34941,161682,Leishmania major,uM,0.9
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,c1ccc2c(Nc3ccc(NC4CCCC4)cc3)c3ccccc3nc2c1,J Med Chem,1997.0,CHEMBL90679,161689,Leishmania major,uM,0.45
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCN(C)c1ccc(Nc2c3ccc(N(C)C)cc3nc3cc(N(C)C)ccc23)cc1,J Med Chem,1997.0,CHEMBL88461,161716,Leishmania major,uM,0.07
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL415467,161678,Leishmania major,uM,1.5
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCCc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL316058,161708,Leishmania major,uM,0.8
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1cc(/C=C/C(=O)c2ccccc2F)cc(OC)c1,J Med Chem,1998.0,CHEMBL144152,280763,Leishmania donovani,uM,3.5
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCN(CC)CCNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1OC,J Med Chem,1997.0,CHEMBL92012,161679,Leishmania major,uM,1.6
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,c1ccc2c(Nc3ccc(NC4CCCCC4)cc3)c3ccccc3nc2c1,J Med Chem,1997.0,CHEMBL89171,161688,Leishmania major,uM,0.55
Antileishmanial activity of compound against leishmania donovani was determined in luciferase assay,C[C@@H]1CC[C@H]2[C@@H](CCCc3cccc(F)c3)C(=O)O[C@@H]3O[C@@]4(C)CCC1[C@]32OO4,J Med Chem,2003.0,CHEMBL134479,259241,Leishmania donovani,uM,3.7
Antileishmanial activity of compound against leishmania donovani was determined in luciferase assay,CC(C)CCC[C@H]1C(=O)O[C@@H]2O[C@@]3(C)CCC4[C@H](C)CC[C@@H]1[C@]42OO3,J Med Chem,2003.0,CHEMBL334647,259212,Leishmania donovani,uM,8.5
Antileishmanial activity of compound against leishmania donovani was determined in luciferase assay,C[C@@H]1CC[C@H]2[C@@H](CCCc3ccc(Cl)c(Cl)c3)CO[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,J Med Chem,2003.0,CHEMBL335031,259270,Leishmania donovani,uM,2.3
